Entity,Year,Deaths - Meningitis - Sex: Both - Age: All Ages (Number),Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),Deaths - Malaria - Sex: Both - Age: All Ages (Number),Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number)
United States,2009,1186.0,644331.0,0.0,10551.0,891.0,68989.0,10637.0,71235.0,823362.0,78863.0,179468.0,54496.0,106814.0,137.0,118965.0,24760.0
United States,2010,1141.0,648290.0,0.0,9143.0,868.0,68625.0,10928.0,69915.0,820215.0,82391.0,182265.0,55472.0,108110.0,129.0,121781.0,25309.0
United States,2011,1126.0,659516.0,0.0,8428.0,862.0,69967.0,11327.0,68571.0,830800.0,86464.0,187463.0,57598.0,111120.0,124.0,124656.0,26123.0
United States,2012,1108.0,668318.0,0.0,7973.0,858.0,70573.0,11466.0,67741.0,837102.0,89367.0,191590.0,59351.0,113403.0,121.0,127120.0,26781.0
United States,2013,1106.0,678428.0,0.0,7682.0,871.0,72196.0,11553.0,67235.0,847344.0,92802.0,196459.0,61199.0,116058.0,120.0,129640.0,27531.0
United States,2014,1102.0,689157.0,0.0,7413.0,879.0,73161.0,11541.0,67583.0,858443.0,96182.0,200484.0,63045.0,118754.0,120.0,131616.0,28193.0
United States,2015,1115.0,700941.0,0.0,7089.0,900.0,74766.0,11625.0,68860.0,876853.0,99915.0,205998.0,64842.0,121845.0,120.0,134411.0,29081.0
United States,2016,1131.0,715197.0,0.0,7430.0,927.0,75385.0,11572.0,70534.0,892268.0,102601.0,209980.0,66395.0,124438.0,120.0,136673.0,29748.0
United States,2017,1137.0,725719.0,0.0,7338.0,929.0,76510.0,11354.0,72239.0,899212.0,101751.0,211269.0,65977.0,124473.0,124.0,138750.0,30014.0
United States,2018,1142.0,750419.0,0.0,7200.0,956.0,79227.0,11518.0,75081.0,929375.0,104364.0,218546.0,66816.0,127040.0,129.0,141681.0,31277.0
United States,2019,1146.0,773895.0,0.0,7053.0,978.0,81921.0,11727.0,77719.0,957455.0,106954.0,224988.0,67286.0,129343.0,131.0,143919.0,32211.0
